reponame,grade,files,issues,gofmt,govet,golint,gocyclo,license,ineffassign,misspell
streadway/amqp,A+ (96.3%),33,8,96%,100%,100%,78%,96%,100%,96%
zxh0/jvm.go,A+ (91.0%),247,176,98%,99%,29%,98%,100%,100%,99%
buger/jsonparser,B (76.5%),18,13,77%,83%,38%,77%,83%,100%,94%
oklog/oklog,A+ (91.5%),58,18,98%,82%,96%,79%,100%,100%,100%
heroiclabs/nakama,A+ (98.7%),1678,106,99%,98%,95%,97%,100%,100%,100%
dominikh/go-tools,A (88.6%),148,83,99%,89%,58%,72%,100%,100%,100%
gilbertchen/duplicacy,C (67.6%),55,50,78%,69%,30%,49%,74%,100%,96%
imgproxy/imgproxy,A+ (95.4%),50,15,100%,98%,86%,80%,100%,100%,98%
99designs/aws-vault,A (90.0%),27,18,96%,100%,88%,37%,100%,100%,100%
disintegration/imaging,A+ (97.9%),22,4,100%,100%,81%,100%,100%,100%,100%
olebedev/go-starter-kit,A+ (100.0%),1537,2,99%,99%,100%,100%,100%,100%,100%
mitchellh/mapstructure,A+ (92.6%),8,3,87%,100%,87%,87%,100%,100%,100%
kubernetes/client-go,A+ (95.4%),1035,217,99%,90%,90%,97%,99%,100%,100%
lni/dragonboat,A+ (97.9%),237,30,98%,99%,99%,88%,100%,100%,99%
reponame,grade,files,issues,gofmt,govet,golint,gocyclo,license,ineffassign,misspell
sourcegraph/checkup,A+ (92.0%),25,11,96%,96%,92%,68%,88%,100%,100%
h2non/imaginary,A+ (98.8%),123,12,100%,100%,98%,91%,100%,100%,100%
gobwas/ws,A+ (95.7%),46,10,97%,95%,80%,100%,100%,100%,100%
NebulousLabs/Sia,A+ (95.9%),480,138,100%,96%,98%,75%,99%,100%,99%
kgretzky/evilginx2,A+ (99.3%),782,18,99%,99%,97%,99%,99%,100%,100%
alecthomas/kingpin,A+ (93.6%),35,14,97%,97%,68%,94%,97%,100%,100%
prometheus/alertmanager,A+ (99.1%),1253,48,99%,99%,98%,98%,100%,100%,100%
nektos/act,A+ (99.9%),1122,4,99%,99%,100%,100%,100%,100%,100%
allegro/bigcache,A+ (99.1%),31,1,100%,96%,100%,100%,100%,100%,100%
karan/joe,D (55.9%),2,2,50%,50%,100%,0%,100%,100%,100%
chrislusf/glow,A (87.9%),101,74,92%,97%,30%,98%,99%,100%,95%
anthonynsimon/bild,A+ (97.4%),64,6,93%,100%,96%,100%,100%,100%,100%
iron-io/functions,A (88.2%),147,93,96%,88%,44%,95%,97%,100%,97%
open-policy-agent/opa,A+ (98.7%),876,66,98%,99%,99%,93%,99%,100%,99%
jingweno/ccat,A+ (99.4%),215,5,99%,100%,100%,97%,100%,100%,100%
mholt/certmagic,A+ (96.9%),25,5,100%,96%,84%,100%,100%,100%,96%
libp2p/go-libp2p,A (90.0%),51,25,94%,94%,64%,82%,100%,100%,96%
pion/webrtc,A+ (99.1%),170,12,100%,99%,100%,93%,100%,100%,100%
ksimka/go-is-not-good,A+ (93.9%),1,2,100%,100%,100%,99%,98%,0%,100%
google/syzkaller,A+ (96.3%),818,176,99%,98%,83%,91%,99%,100%,100%
operator-framework/operator-sdk,A (86.7%),288,176,95%,81%,53%,92%,98%,100%,97%
c-bata/go-prompt,A+ (98.7%),47,2,100%,95%,100%,100%,100%,100%,100%
hashicorp/hcl,A (88.1%),35,17,88%,91%,82%,74%,94%,100%,88%
siddontang/go-mysql-elasticsearch,B (71.7%),11,9,81%,36%,81%,90%,100%,100%,81%
google/wire,A (81.2%),10,6,100%,60%,100%,40%,100%,100%,100%
koding/kite,A+ (92.0%),99,52,100%,95%,51%,90%,98%,100%,98%
rcrowley/go-metrics,A (86.6%),46,25,80%,97%,54%,95%,100%,100%,95%
mholt/archiver,A+ (98.0%),23,4,100%,100%,82%,100%,100%,100%,100%
schollz/croc,A+ (96.1%),18,3,100%,88%,94%,100%,100%,100%,100%
monochromegane/the_platinum_searcher,A (83.2%),34,31,91%,97%,82%,8%,100%,100%,100%
