reponame,grade,files,issues,gofmt,govet,golint,gocyclo,license,ineffassign,misspell
DATA-DOG/go-sqlmock,A+ (97.9%),37,4,100%,97%,94%,94%,100%,100%,100%
projectcontour/contour,A+ (91.4%),161,53,99%,77%,97%,88%,100%,100%,99%
yahoo/gryffin,A+ (92.3%),32,15,93%,96%,62%,100%,96%,100%,90%
TruthHun/DocHub,A+ (95.5%),290,64,96%,99%,78%,95%,97%,100%,100%
upper/db,A+ (90.5%),161,48,98%,96%,90%,91%,97%,0%,90%
goodrain/rainbond,A+ (90.2%),334,123,95%,80%,90%,90%,97%,100%,97%
ouqiang/gocron,B (76.8%),38,35,100%,57%,10%,97%,100%,100%,100%
360EntSecGroup-Skylar/ElasticHD,B (80.0%),5,4,100%,40%,100%,80%,100%,100%,80%
aimerforreimu/auxpi,A (80.8%),88,88,97%,80%,4%,97%,79%,100%,100%
floyernick/Data-Structures-and-Algorithms,A+ (92.8%),41,25,100%,100%,100%,39%,100%,100%,100%
getgauge/gauge,A+ (97.0%),764,99,95%,99%,92%,98%,100%,100%,99%
mholt/timeliner,A+ (93.8%),34,10,97%,88%,100%,88%,94%,100%,100%
42wim/matterbridge,A+ (99.6%),1425,33,100%,99%,98%,99%,100%,100%,100%
mickael-kerjean/filestash,E (44.5%),71,71,4%,74%,0%,78%,100%,100%,85%
moby/buildkit,A+ (98.2%),1932,227,99%,99%,90%,97%,100%,100%,100%
jgrahamc/httpdiff,A+ (99.9%),1,1,100%,100%,99%,99%,100%,100%,100%
arachnys/athenapdf,A (88.8%),22,10,100%,77%,68%,95%,95%,100%,100%
hyperhq/hyperd,A+ (99.0%),2188,148,100%,99%,93%,98%,99%,100%,100%
golang/net,A+ (96.5%),434,92,99%,98%,90%,84%,99%,100%,99%
twpayne/chezmoi,A+ (96.2%),114,19,99%,92%,100%,90%,100%,100%,100%
google/trillian,A+ (96.1%),366,59,99%,90%,98%,93%,99%,100%,100%
rtr7/router7,A (84.9%),51,28,96%,70%,74%,84%,96%,100%,94%
henrylee2cn/teleport,A+ (99.2%),739,35,99%,99%,97%,98%,99%,100%,99%
pilosa/pilosa,A+ (92.9%),187,74,100%,90%,79%,82%,100%,100%,100%
tdewolff/minify,A+ (93.2%),38,11,97%,94%,84%,78%,100%,100%,100%
Ullaakut/cameradar,A+ (92.8%),18,4,88%,88%,100%,100%,100%,100%,94%
moncho/dry,A+ (95.0%),194,38,97%,88%,100%,93%,100%,100%,100%
elastic/go-elasticsearch,A+ (93.2%),394,207,99%,98%,98%,48%,99%,100%,100%
zalando/skipper,A+ (94.0%),348,123,99%,93%,66%,100%,99%,100%,99%
go-qml/qml,A (83.8%),58,47,84%,96%,25%,93%,96%,100%,94%
skynetservices/skynet-archive,B (78.6%),47,42,87%,93%,25%,97%,97%,0%,89%
EDDYCJY/go-gin-example,A+ (98.1%),388,34,98%,97%,93%,100%,100%,100%,99%
googleapis/google-cloud-go,A+ (95.7%),790,156,97%,94%,96%,90%,97%,100%,98%
argoproj/argo-cd,A (87.6%),290,149,99%,79%,54%,92%,100%,100%,100%
hellofresh/janus,A+ (95.6%),161,25,100%,85%,100%,100%,99%,100%,99%
unidoc/unioffice,A+ (100.0%),38,0,100%,100%,100%,100%,100%,100%,100%
gopher-os/gopher-os,A+ (96.0%),80,15,100%,90%,100%,91%,100%,100%,100%
olekukonko/tablewriter,A (87.5%),8,7,100%,87%,87%,37%,100%,100%,87%
howeyc/fsnotify,A+ (93.5%),9,5,100%,100%,66%,77%,100%,100%,100%
justinas/alice,A+ (94.1%),2,1,100%,100%,100%,50%,100%,100%,100%
rcrowley/goagain,A (81.2%),5,4,60%,100%,100%,60%,100%,100%,100%
mpolden/echoip,A (88.2%),10,6,100%,80%,50%,100%,100%,100%,100%
yunabe/lgo,A+ (97.3%),127,22,100%,96%,92%,92%,99%,100%,98%
ahmetb/go-linq,A+ (99.7%),51,2,100%,100%,98%,100%,98%,100%,100%
codesenberg/bombardier,A+ (100.0%),224,1,100%,100%,100%,100%,100%,100%,99%
