reponame,time_avg,n
btcsuite/btcd,129.5909090909091,22
tealeg/xlsx,20.785714285714285,14
adonovan/gopl.io,20.0,1
shazow/ssh-chat,43.888888888888886,9
RichardKnop/machinery,75.8,10
rgburke/grv,579.0,1
spiral/roadrunner,253.5,4
Azure/draft,52.36842105263158,19
goadesign/goa,84.0,21
tj/node-prune,31.0,2
kubernetes-sigs/kind,118.28571428571429,14
twitchtv/twirp,32.333333333333336,6
mongodb/mongo-go-driver,38.095238095238095,21
elves/elvish,526.2857142857143,7
kashav/fsql,134.0,1
zenazn/goji,109.0,2
alecthomas/gometalinter,64.4,5
docker/docker-ce,116.57142857142857,322
nsf/termbox-go,12.0,2
contribsys/faktory,77.5,8
coreos/prometheus-operator,57.276595744680854,47
rivo/tview,108.0,2
emicklei/go-restful,97.0,6
99designs/gqlgen,81.9375,16
travisjeffery/jocko,483.0,1
go-yaml/yaml,74.0,3
mitchellh/gox,49.0,2
fanpei91/torsniff,8.0,1
davecgh/go-spew,61.5,2
motemen/gore,92.33333333333333,3
jpmorganchase/quorum,137.52777777777777,72
gchaincl/httplab,119.0,1
aelsabbahy/goss,136.5,2
gomatcha/matcha,397.0,1
google/gops,60.0,2
onsi/ginkgo,25.375,8
jwilder/docker-gen,56.0,5
huichen/wukong,44.5,2
mozilla-services/heka,109.05714285714286,35
hoisie/web,93.0,2
elazarl/goproxy,51.25,4
schollz/find3,584.0,1
jung-kurt/gofpdf,47.625,8
docker-slim/docker-slim,104.0,3
igrigorik/ga-beacon,39.0,1
syndtr/goleveldb,158.0,4
ant0ine/go-json-rest,508.0,1
satori/go.uuid,122.0,1
lifei6671/mindoc,337.0,2
EasyDarwin/EasyDarwin,13.5,2
jpillora/chisel,65.0,1
lucas-clemente/quic-go,1971.5,2
tendermint/tendermint,164.3409090909091,44
oxequa/realize,383.0,2
sql-machine-learning/sqlflow,80.4,10
burke/zeus,65.41666666666667,12
MichaelMure/git-bug,93.9,10
OWASP/Go-SCP,79.5,2
terraform-providers/terraform-provider-aws,76.91549295774648,213
golang/lint,27.25,4
DisposaBoy/GoSublime,9.0,2
containers/libpod,169.36363636363637,33
vmware-tanzu/velero,118.61538461538461,13
go-flutter-desktop/go-flutter,70.0,3
go-pg/pg,438.25,4
gogo/protobuf,89.5,10
ansible-semaphore/semaphore,50.27272727272727,11
gonum/gonum,333.875,16
name5566/leaf,321.0,1
golang/mock,28.75,8
patrickmn/go-cache,157.0,1
meshbird/meshbird,84.0,2
go-gorp/gorp,24.857142857142858,14
tsuru/tsuru,372.46153846153845,39
github/orchestrator,223.94117647058823,17
fluxcd/flux,149.2,25
gruntwork-io/terragrunt,41.44444444444444,27
golang/tools,50.07272727272727,55
golang-migrate/migrate,42.8,15
codegangsta/gin,53.5,2
astaxie/go-best-practice,38.0,1
variadico/noti,255.0,1
jenkins-x/jx,150.0,50
dvyukov/go-fuzz,88.5,8
siddontang/ledisdb,164.4,5
ha/doozerd,269.1666666666667,6
fatih/color,91.0,1
maxence-charriere/app,726.0,1
gruntwork-io/terratest,48.666666666666664,24
adtac/commento,210.5,2
anacrolix/torrent,415.0,5
