reponame,coefficient_of_variation
fullstorydev/grpcurl,0.0
lxc/lxd,2.6415426193110605
kubernetes-sigs/external-dns,1.9386504836955716
knative/serving,2.0713242640144722
HouzuoGuo/tiedot,1.8199752848131765
syncsynchalt/illustrated-tls,0.0
tinode/chat,1.3873582771647879
fvbock/endless,0.7735849056603774
gpmgo/gopm,0.6831683168316832
pksunkara/alpaca,0.8757062146892656
knqyf263/pet,0.84
golang/glog,0.15789473684210525
OJ/gobuster,0.6334301875247224
Ne0nd0g/merlin,1.7239815494762243
gravityblast/fresh,0.21739130434782608
containernetworking/cni,1.2747243337593186
nlf/dlite,0.954954954954955
spf13/afero,0.9825031086634143
containers/buildah,1.7123102513991635
markbates/goth,1.3171980590582637
docker/libchan,0.7133502531814618
gravitational/teleconsole,0.8333333333333334
unknwon/go-web-foundation,0.0
joho/godotenv,0.7872340425531915
cweill/gotests,1.4529201406659484
xtaci/kcp-go,0.9709208400646203
jdkato/prose,0.9285714285714286
kubernetes-retired/contrib,2.2933870317450316
coocood/freecache,0.9722718241315028
genuinetools/binctr,0.0
mlabouardy/komiser,0.0
vuvuzela/vuvuzela,0.8064516129032258
m3db/m3,1.1863415768499033
rakyll/statik,0.0
esimov/pigo,0.0
mikespook/Learning-Go-zh-cn,1.719895188536538
mattes/migrate,2.0335999804979434
AdguardTeam/AdGuardHome,1.136070208634827
benmanns/goworker,0.8938053097345132
jinzhu/now,0.0
virtual-kubelet/virtual-kubelet,1.223666330239655
mailru/easyjson,1.2128306403966367
runatlantis/atlantis,2.367681027817569
xo/xo,0.9010989010989011
chrislusf/gleam,1.6486710431010136
buzzfeed/sso,1.0173412931366046
go-resty/resty,0.9644128113879004
ReactiveX/RxGo,1.1841975732621524
mehrdadrad/mylg,0.918622848200313
FiloSottile/Heartbleed,1.1183022847155415
docker/swarmkit,1.8731873242996648
astaxie/bat,0.0
OWASP/Amass,1.6408527236832418
constabulary/gb,2.1626947720953775
GoogleContainerTools/container-diff,1.4353211970759405
docker/deploykit,1.6346933113652307
ilanyu/ReverseProxy,0.0
grpc-ecosystem/go-grpc-middleware,0.0
nfnt/resize,0.23076923076923078
containous/yaegi,1.1963318777102836
afex/hystrix-go,1.2246639152576213
itsabot/itsabot,0.0
maruel/panicparse,0.0
TrueFurby/go-callvis,0.9259259259259259
jackc/pgx,2.6828802912931553
google/mtail,1.9609761691716905
mvdan/sh,1.6998857746736133
Humpheh/goboy,0.0
linkedin/Burrow,1.1384958671449679
hajimehoshi/ebiten,0.0
uber/aresdb,0.6180668985428351
gernest/utron,0.9142857142857143
prest/prest,1.460293512571066
fagongzi/gateway,1.4791442842029534
aws/aws-lambda-go,0.8941883480054932
sourcegraph/thyme,0.8153846153846154
jetstack/kube-lego,1.5287617940107312
mmatczuk/go-http-tunnel,0.9205298013245033
sideshow/apns2,1.1859133748062622
aquasecurity/kube-bench,1.7656709209900165
Jeffail/benthos,2.3579342290452976
cri-o/cri-o,1.785971628969242
boramalper/magnetico,1.5339299776947408
ChimeraCoder/gojson,0.605094501008185
gopherdata/gophernotes,0.9782568137534927
goraft/raft,1.0896413843557597
emitter-io/emitter,1.4221486320695893
shiyanhui/dht,0.0
digitalocean/doctl,1.6900497348454877
divan/txqr,0.0
TarsCloud/TarsGo,0.888
go-task/task,1.938656653896719
opentracing/opentracing-go,0.9240198230802694
goproxy/goproxy.cn,0.0
kardianos/service,0.717391304347826
nginxinc/kubernetes-ingress,1.6768323205846722
siddontang/go-mysql,1.7447545890018876
devopsfaith/krakend,1.777269749822845
chaosblade-io/chaosblade,1.0836181841560077
theupdateframework/notary,1.7332821533640568
cheggaaa/pb,0.9476439790575916
maxmcd/webtty,0.0
purpleidea/mgmt,2.3917127293022165
aQuaYi/LeetCode-in-Go,0.0
solo-io/unik,0.9052659834684953
google/codesearch,0.4482758620689655
googleapis/google-api-go-client,1.6608200146057468
pressly/sup,0.8785046728971962
volatiletech/authboss,1.6089008826668538
gwuhaolin/livego,0.0
cortexproject/cortex,2.3119664224405176
distribworks/dkron,1.9206209583628102
fogleman/gg,0.8421052631578947
mgechev/revive,0.5433070866141733
GoogleCloudPlatform/terraformer,2.076466313993701
liamg/aminal,1.2090578703157675
dustin/go-humanize,0.8901098901098901
dunglas/vulcain,0.696969696969697
jedisct1/piknik,0.0
DATA-DOG/go-sqlmock,1.4744181969136398
projectcontour/contour,2.5919383525521797
yahoo/gryffin,0.0
upper/db,1.6806032333982341
goodrain/rainbond,1.249973603502518
ouqiang/gocron,0.0
360EntSecGroup-Skylar/ElasticHD,0.0
floyernick/Data-Structures-and-Algorithms,0.0
getgauge/gauge,1.2218364915720226
mholt/timeliner,0.0
42wim/matterbridge,2.3755173137269296
mickael-kerjean/filestash,0.0
moby/buildkit,2.4152570323389853
shen100/golang123,0.0
jgrahamc/httpdiff,0.0
arachnys/athenapdf,0.8571428571428571
hyperhq/hyperd,1.2118385150971183
golang/net,2.755062292926721
twpayne/chezmoi,0.9875222816399287
ashleymcnamara/gophers,0.0
google/trillian,1.0757535187470293
rtr7/router7,0.0
henrylee2cn/teleport,0.9882766705744431
pilosa/pilosa,0.9419729875878418
tdewolff/minify,0.9779005524861878
Ullaakut/cameradar,0.0
moncho/dry,0.9892357373519914
elastic/go-elasticsearch,0.9484536082474226
zalando/skipper,2.8192868743565325
go-qml/qml,0.0
skynetservices/skynet-archive,1.2338452629178671
EDDYCJY/go-gin-example,0.0
googleapis/google-cloud-go,2.4236457611241176
argoproj/argo-cd,1.4530850510044664
hellofresh/janus,1.8353823687187054
kubernetes-sigs/kubebuilder,1.5899523785006713
unidoc/unioffice,1.8259557540158837
gopher-os/gopher-os,0.0
olekukonko/tablewriter,0.5609100775137992
howeyc/fsnotify,0.6878612716763006
justinas/alice,0.7818181818181819
rcrowley/goagain,0.0
mpolden/echoip,0.0
minishift/minishift,1.0437297447541596
yunabe/lgo,0.0
pulumi/kubespy,0.46153846153846156
ahmetb/go-linq,1.0723613419629716
codesenberg/bombardier,0.0
shunfei/cronsun,0.7751771758631951
GoesToEleven/golang-web-dev,0.0
Terry-Mao/gopush-cluster,0.0
redspread/spread,0.6221498371335505
uber/makisu,0.7498086212302097
chanxuehong/wechat,0.0
shen100/wemall,0.0
src-d/gitbase,1.305795921563155
alash3al/sqler,0.0
weaveworks/eksctl,3.1471456240327114
willnorris/imageproxy,0.9545454545454546
fireworq/fireworq,0.8923535711982362
kabukky/journey,0.9375
alecthomas/chroma,1.2958142873837193
prometheus/client_golang,2.5543340176520264
influxdata/kapacitor,2.4417645178429854
nareix/joy4,0.0
rapidloop/rtop,0.0
intelsdi-x/snap,1.545449226659324
kubeedge/kubeedge,1.4638469865392358
brigadecore/brigade,1.5512237310987391
solo-io/gloo,0.9988166259274072
PuerkitoBio/gocrawl,0.8926829268292683
solo-io/gloo,0.9988166259274072
gocircuit/circuit,0.0
fogleman/pt,0.0
segmentio/kafka-go,1.2054208749506368
coreos/torus,2.1047412479553897
cube2222/octosql,0.9881616160676526
francoispqt/gojay,0.0
marcusolsson/tui-go,0.04918032786885246
xmge/gonote,0.0
isacikgoz/gitin,0.0
hashicorp/go-plugin,0.9639549697332699
kubernetes-incubator/external-storage,3.025616599508305
gravitational/workshop,1.2849944224085246
convox/rack,3.1717884661918334
google/btree,0.0
chaitin/xray,1.7118015328039633
aptly-dev/aptly,2.4541606723290017
feixiao/Distributed-Systems,0.10909090909090909
senghoo/golang-design-pattern,0.0
whyrusleeping/gx,1.7517887616365797
jwilder/docker-squash,0.0
go-telegram-bot-api/telegram-bot-api,1.7539648239411787
GeertJohan/go.rice,0.9788624512317543
arduino/arduino-cli,1.5484335061373593
cdarwin/go-koans,0.0
Azure/golua,0.3333333333333333
bxcodec/go-clean-arch,0.0
goadapp/goad,0.35392913380793334
shopspring/decimal,0.7678104401298007
elastic/logstash-forwarder,1.6482324044342385
osrg/gobgp,2.200259620265415
zentures/surgemq,0.0
oklog/ulid,0.4883720930232558
docker/cli,2.5860926399665645
dzhou121/gonvim,0.0
swaggo/swag,1.281545854097492
facebookincubator/ent,0.6312056737588653
kubernetes/kube-state-metrics,1.6056695780656352
gdamore/tcell,0.889763779527559
GoogleCloudPlatform/golang-samples,2.0976637173494157
vzex/dog-tunnel,0.6503496503496503
golang/proposal,0.6928459370291875
Shopify/go-lua,1.4350730234073477
egonelbre/gophers,0.0
golang/example,0.0
liuchengxu/blockchain-tutorial,0.0
go-ini/ini,0.0
dunglas/mercure,0.9559471365638766
